"Population"	"Species"	"Date"	"Month"	"Quadrat"	"Cauloid_size"	"Leaf_size"	"Fertility"	"Stage"	"Subpopulation"	"Year"	"uniq_id"	"lon"	"lat"
"112"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"2"	6	12	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"113"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"2"	4	10	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"114"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"2"	4	7	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"115"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"2"	4	12	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"116"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"3"	8	12	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"117"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"3"	5	9	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"118"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"3"	5	7	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"119"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"3"	2	5	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"120"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"3"	4	8	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"121"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"3"	NA	11	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"122"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"4"	6	6	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"123"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"4"	5	10	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"124"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"4"	5	7	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"125"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"4"	4	9	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"126"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"4"	2	6	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"127"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"5"	7	9	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"128"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"5"	6	7	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"129"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"5"	2	8	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"130"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"5"	4	11	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"131"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"5"	4	5	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"132"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"6"	6	14	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"133"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"6"	7	15	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"134"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"6"	3	8	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"135"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"6"	4	10	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"136"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"6"	5	16	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"137"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"6"	8	20	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"138"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"7"	7	16	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"139"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"7"	5	16	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
